标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,概况,设施,链接,行政区,price,tj1
邻七号线西丽地铁站旁 精装公寓 管理处直租 配套齐全拎包入住,950,1室0厅1卫,14平方米,东南,中层(共6层),精装修,公寓,丽新小区 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1392575190328326?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadBPWNQmhDQmBYOn1nQsHE3myDVryNYnzdhm1mvmvnQrA7bP1TKP101rH9dPTDKnHnOnWNLPHDOnjnzrjnzP9DkTHDknTDQsjDkTHEKnHmkn1E1PHE3nW0OnkDYnkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQnEDKsHDKTHD1nH9kPH9QP1EYnjb3P1NYPH0KP97Jpy7ZuHCkg1cdnjTKnEDQmHNYnWIbmBY1uHTvsHw-PjDVmHnYuBd-mvndPANkuWnOnAEKnHnQrjTdrjDLPjNknWDdPjcYnTDQn1D3njN3nH0YPjELPWcYnHbYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHDf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk7WPhnLuARhmidBnHEYsHELPWmVmWbvriYkm1EzP1nOryFWmWnKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7BuHEzuhckPWI-m1KBnW9k&lego_tid=c6c7defa-b144-4766-b969-0c427399bcb3,南山,"(500.0, 1000.0]",True
西丽地铁口周边 精装复式 单间 拎包入住 免费健身房,950,1室1厅1卫,22平方米,朝南,中层(共6层),精装修,公寓,新围村 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1373661012434953?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadBPWNQmhDQmBYOn1nQsHE3myDVryNYnzdhm1mvmvnQrA7bP1TKP1cvPjDYP9DKnHnLn1mvnHTQnWE1PjbdnkDkTHDknTDQsjDkTHEKnHmkn1E1PHE3nW0OnkDYP9Z-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQnEDKsHDKTHD1nHbYPHNdnH9zn1nLn1DkP1cKP97Jpy7ZuHCkg1cdnjTKnED1nHcvuHTdPBYYuHn3sHEdn1cVmWIbPidhnHFhn1DOPHnvrjcKnHnQrHEdPHNQrjnzPWTkrH9dP9DQn1DOPjNdPHD3nW0QPj91rHTYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHDf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDvrH-hnjbOPzdhmhndsHEvmyNVrAF6PBYznARWmW-WmywhPAcKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDLn19QmHDznH9kujbOPjEY&lego_tid=699f0997-fbc5-46ae-8ba6-20ecb9cadf4b,南山,"(500.0, 1000.0]",True
南山区西丽 大型社区式公寓直租 单间鸺龤龤起 复式龒驋龤龤起,900,1室0厅1卫,15平方米,朝南,中层(共8层),精装修,公寓,文光村 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1374139291033600?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadBPWNQmhDQmBYOn1nQsHE3myDVryNYnzdhm1mvmvnQrA7bP1TKP101rH9dPTDKnHnLPjD1rHcOnHT1n1mknTDkTHDknTDQsjDkTHEKnHmkn1E1PHE3nW0OnkDYPkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQnEDKsHDKTHD1nH9kPH9krHcYrjcdn1bdnWTKP97Jpy7ZuHCkg1cdnjTKnED1mhc1P1EYniY3njF-sHELuhNVryELPBYQn19dujbdPvnknhnKnHnQrjTdrjTOnWNLPj9QnjDQn9DQn1D3njN3njbzPHDvnjb1rHNzTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHDf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkD3PWDLnhmQuid6uWRbsHEvuH0Vrj--PaYOn10OnvDduWPbnHTKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDvmWFhrAmzPHDQPhPhmyNO&lego_tid=86172f1e-af5d-46e7-89e4-93793a5f3d10,南山,"(500.0, 1000.0]",True
急租！ 电梯房 精装修 网红公寓 大单间 安全可靠,1380,1室0厅1卫,38平方米,东南,中层(共10层),精装修,普通住宅,福海信息港 (宝安福永),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1692409023618048?isauction=2&shangquan_id=6154&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYvm1mOPvDOnBYYnWnQsHE3nHbVrHn1naY3mW-6ujmzn17BuH0KPHDdrHndrjcQPHbvn10KTHDvrHcYnjbknWnvnH9kPj9KrjEknTD3PjTkTHD_nHTKPTDQPWT1PjndPHnznWbzTHDOTNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKnHcKTiYQTEDQn1DOPjmdn1cdP191nHmvrH0vTHmKph-6wvNln7tzPHTkTHDKPjDkujcQnWNVm1NzPaYYP19zsycLm1bVuH91uyc1nhckPAnLTHD1nHbYPWN1nWmOP1TQPHNknjbKnHnQrHEvPHnzPW9LP19LPWczPTDKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDzs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnhN1nHN1nyDVuHmLmBYYrywBsycdPjcVnWN1PvF-PHDdmWEdTEDYTEDKnTDYsjD3nHc_PWDdPTDQTyOdUAkKnhPhnjPWn16-uyP-rARbn9&lego_tid=2e31531a-e67b-49db-b542-2537be515b45,宝安,"(1000.0, 1500.0]",True
石岩上屋地铁口上屋小学田心新村园岭村田心幼儿园为民学校家电齐,1280,1室1厅1卫,35平方米,东南,中层(共14层),精装修,公寓,石岩公馆 (宝安石岩),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1703709946387457?isauction=2&shangquan_id=6156&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYvm1mOPvDOnBYYnWnQsHE3nHbVrHn1naY3mW-6ujmzn17BuH0KPWc3n10On19OPHDYn1TKTHDLnjnLnjbOPjm1rj0YPH0KnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1Ndn1czrHEKPjEKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQn9DKsHDKTHD1nHbYrjEYPjmdrj0YrHEYnjTKP97Jpy7ZuHCkg1cdnjTKnEDduhcdPWF6PadBrAwbsHEvrHbVmhDduaYdnAFbuW7WmHmQP1TKnHnQrHE3PjEYPW0krHDzrHcQP9DQn1DOPj9YPjEvPWn1PWnQP1EYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHcf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPEDdmHmYmWKWPBYzmymdsHwhmHDVrj-hPBYvnAu-PhN3uHIbm1bKTHEKTEDkTHE_nH9QnBkvnHNvTHDKUMR_UT7-uAN1PjT1PWD3PHuBuj-b&lego_tid=5a64b0c6-2af5-4fa1-89f6-60fe6e8e7dc9,宝安,"(1000.0, 1500.0]",True
近西丽地铁站 精装公寓房出租 配套齐全拎包入住 单间齤麣麣起,900,1室0厅1卫,14平方米,东南,中层(共8层),精装修,公寓,新围综合楼 (南山西丽),True,True,"洗衣机,热水器,宽带,沙发,空调,衣柜,床,卫生间,暖气,",https://sz.zu.anjuke.com/fangyuan/1240936163975169?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6uHFbmHTvPzYLmvDvsHwWn1cVrjDOnBYzrHRbrHmzrHTOnj0KP101rH9dPTDKnHcYnjb1PWDvn1bLPHDvrEDkTHDknTDQsjDkTHEKnHmkn1E1PH0YnHbOPTDznEZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQP9DKsHDKTHD1nH9kPH9kn193PjDdrjDdPW9KP97Jpy7ZuHCkg1cdnjTKnE7hmWcLujD3uadWmHbYsHwhrjmVrH0QmBdBnyFbnHKhmhw-rANKnHnQrjTdrjT1rjb1n19vnjndn9DQn1D3njN3njn3rj0On1nkn1TYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHmf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDdmhPWn1NOriY1nHEQsHwbP1mVmW9knzYQuyuBuhR-m16BPvcKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT76mhDznANLnvNknWTQmvnd&lego_tid=5bcc3599-3141-4d76-b803-1efbfeec8b7b,南山,"(500.0, 1000.0]",True
西丽地铁口周边 精装复式 单间 拎包入住 免费健身房,950,1室1厅1卫,22平方米,朝南,中层(共6层),精装修,公寓,新围村 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1373661012434953?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6uHFbmHTvPzYLmvDvsHwWn1cVrjDOnBYzrHRbrHmzrHTOnj0KP1cvPjDYP9DKnHnLn1mvnHTQnWE1PjbdnkDkTHDknTDQsjDkTHEKnHmkn1E1PH0YnHbOPTDzP9Z-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQP9DKsHDKTHD1nHbYPHNdnH9zn1nLn1DkP1cKP97Jpy7ZuHCkg1cdnjTKnED3nWbLP1NOnad6m10ksHwWryNVmyNYraY3mWc3mvcOmH0LmHcKnHnQrHEdPHNQrjnzPWTkrH9dP9DQn1DOPjNdPHD3nW0QPj91rHTYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHmf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDOm1cdnjnLniYOuhNYsHE1n1cVrH7BridbuWEYnjF-rj7buHDKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7hPHP-n193uywhnvu-mvFb&lego_tid=9c250371-9fe4-4332-91b9-df4402e81de1,南山,"(500.0, 1000.0]",True
邻七号线西丽地铁站旁 精装公寓 管理处直租 配套齐全拎包入住,950,1室0厅1卫,14平方米,东南,中层(共6层),精装修,公寓,丽新小区 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1392575190328326?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6uHFbmHTvPzYLmvDvsHwWn1cVrjDOnBYzrHRbrHmzrHTOnj0KP101rH9dPTDKnHnOnWNLPHDOnjnzrjnzP9DkTHDknTDQsjDkTHEKnHmkn1E1PH0YnHbOPTDzPkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQP9DKsHDKTHD1nH9kPH9QP1EYnjb3P1NYPH0KP97Jpy7ZuHCkg1cdnjTKnED3nHFWmWmzPidWuHR-sHELuhDVrjnzuadBPjb1rANzPW76uWmKnHnQrjTdrjDLPjNknWDdPjcYnTDQn1D3njN3nH0YPjELPWcYnHbYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHmf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDYuWF6rHE1naYduWTQsHwbnvmVmHD3nBdbPjPBnvNkuWNOnHnKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDOmyD3m1DOm1mYuyndnWbL&lego_tid=4f2a9430-5f01-4d3f-a182-d43b3e0f5913,南山,"(500.0, 1000.0]",True
南山区西丽 大型社区式公寓直租 单间齤麣麣起 复式龒龤麣麣起,900,1室0厅1卫,15平方米,朝南,中层(共8层),精装修,公寓,文光村 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1374139291033600?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6uHFbmHTvPzYLmvDvsHwWn1cVrjDOnBYzrHRbrHmzrHTOnj0KP101rH9dPTDKnHnLPjD1rHcOnHT1n1mknTDkTHDknTDQsjDkTHEKnHmkn1E1PH0YnHbOPEDzrTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQP9DKsHDKTHD1nH9kPH9krHcYrjcdn1bdnWTKP97Jpy7ZuHCkg1cdnjTKnE7-mWwbuH9dPzYOn191sHE3PWTVrHRWuaYOP1EOPWNzmhczmHcKnHnQrjTdrjTOnWNLPj9QnjDQn9DQn1D3njN3njbzPHDvnjb1rHNzTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHmf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDkn1FWmWuBmzYznhFWsHELnhnVryDdmzdWP1NOmWnkujwbuAmKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7BmHP6uWK-Pym3rjnkPAwh&lego_tid=032cb6bc-22bc-472c-9a5c-c759b30d4ddf,南山,"(500.0, 1000.0]",True
鑶龤号线地铁口 精美时尚装修青年公寓 家私家电齐全 拎包入,1200,1室0厅1卫,25平方米,朝南,中层(共9层),精装修,公寓,平山村 (南山大学城),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1395837294027778?isauction=6&shangquan_id=32363&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6uHFbmHTvPzYLmvDvsHwWn1cVrjDOnBYzrHRbrHmzrHTOnj0KnHTkPWNvn1bvTEDQn1bdrjnLnWbYnjcLP103THTKnHTkTHD_nHTKPTDQPWT1PjndP1EQrHb3THNOTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDvTEDVnEDKnHnQrj0znjELn1D1rHcvnHEYnTDvTyGGmNI-rWKxnWNknTDQTyP-uWTvm17WsHPBrH0VPAuWuadBmWnzsyF6Pv7BnhEQnHm3PEDQn1D3P1ckPj01nWcLn1EQrjcvTHD1nH9LnWTYP1nQP10knHTQP1mKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPBt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyEYuyNkPjE1sHcYmHnVPANQPzdBuHRhsHmznHFBnWFWnvFbnkDKPTDKTHnKPakQrjDQsjnzn1m1THDKUMR_UT7WuW7WPjTdmhwhPHb3rHu-&lego_tid=d4ee0443-24a3-4e17-be5f-6212b22c3bd3,南山,"(1000.0, 1500.0]",True
鑶閏号线地铁口 精美时尚装修青年公寓 家私家电齐全 拎包入,1200,1室0厅1卫,25平方米,朝南,中层(共9层),精装修,公寓,平山村 (南山大学城),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1395837294027778?isauction=6&shangquan_id=32363&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTkPWNvn1bvTEDQn1bdrjnLnWbYnjcLP103THTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNzTHcKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH0KTiYQTEDQn1D3P1ckPj01nHnOnWmQPjEkTHmKph-6wvNln7tzPHTkTHDKmHcdnjbOnyEVuHEkmzYYnjD3sycdPHEVuHPWPhnQmhEYnvFhTHD1nH9LnWTYP1nznW01PjD3nWmKnHnQrj0znjELn1DLP1TQnjDLP9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDLs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKuWmdnWPWmH0VryRbPiYYnWc3syDOrjTVPvczmhNdujw6uyN1TEDYTEDKnkDYsjD3nHD_n1c1PWnKnE78IyQ_TH01mhnLryR-uWFBujP-P1N&lego_tid=f6523ca7-9ed5-4228-a980-7b2be5d4aee3,南山,"(1000.0, 1500.0]",True
众冠红花岭工业南区 驋室龒厅驋卫 驋龒龒龒元月 电梯房,1000,1室0厅1卫,14平方米,朝北,中层(共6层),精装修,公寓,众冠红花岭工业南区 (南山大学城),True,True,"洗衣机,热水器,宽带,可做饭,空调,衣柜,床,卫生间,智能门锁,暖气,",https://sz.zu.anjuke.com/fangyuan/1479477337283594?isauction=6&shangquan_id=32363&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKPjNYPWbdP9DKnHELrHELP1n1P1c3n1NOPTDkTHDknTDQsjDkTHEKnHmkn1E1PH03P1EdnkDQPTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQPkDKsHDKTHD1nHbkrH0knW01PWnkrjm1n1mKP97Jpy7ZuHCkg1cdnjTKnEDQnywbPWckniY3nWTzsHEOnWbVrHm1nid6rynkmWKhn16-m1cKnHnQrHTOP1TzP1EvP1bYrjT1n9DQn1DOnjbLnjcLPjTdnjcOn103TEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknH0f5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk7-PWD1nW6BuBdBPj7bsHEkmWDVrjDzPaYknyDQuWbkrj-BPH0KTHEKTED1THE_nH9Qnik1nWnvnkDQTyOdUAkKuHDYPyNYnjnzmWmvuhF-PT&lego_tid=e61328bf-b41d-40b1-8124-01a1f9089b57,南山,"(500.0, 1000.0]",True
一号线固戍地铁站 源一房一厅 免中介 拎包入住,1280,1室1厅1卫,36平方米,朝东,中层(共21层),精装修,公寓,万象新天(三期) (宝安固戍),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1379603904044039?isauction=6&shangquan_id=33272&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQnjcQnW0kTEDQn10OPWT1rHTYnjEYnjnOTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjN1THDLTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrj0vPjD1njbOPHc3nHbznTDvTyGGmNI-rWKxnWNknTDQTHwbnhD1ujbvsHTzrjcVPjP6mzdBmWTksyDYrHbQmy7buWTQPTDQn1D3P1mYnHnQnjbdrHEdnWDvTHD1nH9LPWEQn1Dkn1nkn1TvPHmKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THTQmW0YnyNLsyFWPvmVPADdniYOn1EdsymQPWFbuHwBnH66rEDKPTDKTHnKPakQrjDzsjn1nW0zTHDKUMR_UTD3Pj9znycvnH7hmH7hmWbQ&lego_tid=01b741e7-bc7f-4a51-9345-f162de4b18a9,宝安,"(1000.0, 1500.0]",True
固戍地铁五百米 电梯公寓 家私齐全 送网 押一付一 拎包入住,800,1室0厅1卫,20平方米,南北,中层(共8层),精装修,公寓,固戍红湾新村 (宝安西乡),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,阳台,",https://sz.zu.anjuke.com/fangyuan/1499407606014986?isauction=6&shangquan_id=6151&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQn1nkPHT3TEDQPjbOPjTLPWTvnjDYrH9vTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjN1THcQTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHEOrHbYrj9vrHcOPWDzrTDvTyGGmNI-rWKxnWNknTDQTHb1m10vmWnzsynYPjEVPjnQraY3rHm3sHbOnhnYm1P-uhR-PTDQn1DOPjbOrHE3rHmOrHNOPjcYTHD1nHbYrHbOPj9OnHDzn1bQPW9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THb1mynkPWubsHEznAmVPjTzmzYOnW9dsHE1uADQmvPWmyn1uTDKPTDKTHnKPakQrjDzsjmQPHDKnE78IyQ_THbdPjcYm1EdujN3nvNQPhm&lego_tid=93ac066d-420f-402c-9285-43da1cccac3d,宝安,"(500.0, 1000.0]",True
西乡碧海湾双地铁 精美复试 独厨独卫，家私家电齐全，有停车位,1450,1室1厅1卫,26平方米,南北,中层(共8层),精装修,普通住宅,银田新村 (宝安西乡),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1473575638703110?isauction=6&shangquan_id=6151&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQnjDkPWNdTEDQPj01PH0dPWn3P1T1nHDkTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjN1THcYTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHcvP1EzP19zrHDvnHb3PTDvTyGGmNI-rWKxnWNknTDQTHn3mW0znjKWsHNLmHTVPADYmiYOmHT1sHIBmWcdnj93njNdn9DQn1DOnWmLPjc3njTQnHc3PjE3THD1nHbzPW0YnW0OPjmvnjmdrHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THc1mhNLrH-hsym1nvmVPjK-raY3rjRhsyc1mHwWnj6bmhPWmkDKPTDKTHnKPakQrjDzsjmQPHDKnE78IyQ_THm3uAu-myPhrAD3mHNkPyE&lego_tid=23be799f-f33f-40e8-885f-b3a4c08dbccc,宝安,"(1000.0, 1500.0]",True
